,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,cluster
1,2014,4,10,-7.378744602,107.5836029,10.0,3.630042729,Morning,Minor,Shallow,0
5,2014,4,10,-8.768849373,110.5384293,18.0,4.200937452,Evening,Light,Shallow,-1
6,2014,4,10,-7.420603752,107.5503082,10.0,4.258103099,Dawn,Light,Shallow,0
7,2014,4,10,-8.497421265,109.6668854,22.0,4.020345802,Afternoon,Light,Shallow,-1
9,2014,4,10,-7.546608925,107.5088959,10.0,3.653135936,Afternoon,Minor,Shallow,-1
17,2014,4,10,-7.36685276,107.5886765,10.0,3.552627086,Morning,Minor,Shallow,0
18,2014,4,10,-7.097964764,105.2967606,10.0,4.69693809,Dawn,Light,Shallow,1
19,2014,4,10,-8.8829422,110.123291,10.0,4.157220015,Morning,Light,Shallow,-1
23,2014,4,10,-8.155299187,107.8865128,20.0,3.986897794,Dawn,Minor,Shallow,2
25,2014,4,10,-8.510505676,109.2763214,36.0,3.846474007,Dawn,Minor,Shallow,15
31,2014,4,11,-7.745276928,105.9873199,10.0,3.512772176,Dawn,Minor,Shallow,3
32,2014,4,11,-7.740858555,105.9642105,10.0,4.780736558,Morning,Light,Shallow,3
38,2014,4,11,-7.866016388,107.2798615,26.0,3.955014298,Evening,Minor,Shallow,4
39,2014,4,11,-8.34814167,108.1355438,44.0,4.871455718,Night,Light,Shallow,5
41,2014,4,11,-7.655744553,106.6442413,10.0,3.737943159,Dawn,Minor,Shallow,6
42,2014,4,11,-7.28459549,106.0379181,55.0,4.892364126,Afternoon,Light,Shallow,3
43,2014,4,11,-8.235824585,107.2451553,10.0,4.642381098,Dawn,Light,Shallow,7
46,2014,4,11,-8.151519775,107.3365631,10.0,4.163172956,Evening,Light,Shallow,7
48,2014,4,11,-7.870328426,107.2536545,25.0,3.840273577,Afternoon,Minor,Shallow,4
52,2014,4,11,-8.94382,112.4812241,10.0,4.155694541,Dawn,Light,Shallow,8
53,2014,4,11,-7.255951881,107.710495,10.0,3.541724765,Evening,Minor,Shallow,9
54,2014,4,12,-7.83610487,106.4446411,10.0,4.250493837,Night,Light,Shallow,6
55,2014,4,12,-8.13297081,107.9170227,20.0,3.820606947,Dawn,Minor,Shallow,2
56,2014,4,12,-7.791709423,105.9981842,10.0,4.520854621,Morning,Light,Shallow,3
59,2014,4,12,-8.425488472,108.4646835,10.0,3.906929529,Night,Minor,Shallow,10
61,2014,4,12,-8.150565147,107.3363495,18.0,4.454894135,Afternoon,Light,Shallow,7
65,2014,4,12,-8.163535118,107.3111649,10.0,3.501203401,Morning,Minor,Shallow,7
66,2014,4,12,-8.436028481,108.5350037,60.0,3.989317126,Evening,Minor,Shallow,10
67,2014,4,12,-8.176749229,107.3739166,18.0,4.282349038,Evening,Light,Shallow,7
68,2014,4,12,-7.561960697,105.963913,21.0,4.193084222,Morning,Light,Shallow,3
69,2014,4,12,-7.993020535,107.8060837,53.0,3.89352828,Morning,Minor,Shallow,2
72,2014,4,12,-8.933462143,110.2240906,19.0,4.157473781,Night,Light,Shallow,11
74,2014,4,12,-8.11772728,107.2877426,14.0,3.728893378,Night,Minor,Shallow,7
79,2015,1,1,-7.861435413,106.4990921,10.0,3.835609252,Dawn,Minor,Shallow,6
83,2015,1,1,-7.595385551,106.6878128,11.0,3.904992877,Evening,Minor,Shallow,6
84,2015,1,1,-8.222784042,108.0554276,30.0,3.915679689,Afternoon,Minor,Shallow,-1
85,2015,1,1,-7.869232655,107.2875824,25.0,3.539928526,Morning,Minor,Shallow,4
86,2015,1,1,-8.938436508,109.9152679,10.0,4.004116778,Night,Light,Shallow,12
87,2015,1,1,-7.520521164,106.3112793,50.0,4.59823922,Evening,Light,Shallow,-1
88,2015,1,1,-8.443558693,108.917305,43.0,4.873730297,Night,Light,Shallow,13
90,2015,1,1,-7.212831497,112.2962494,10.0,3.963958252,Morning,Minor,Shallow,-1
91,2015,1,1,-7.77604723,106.8699493,18.0,4.736883514,Afternoon,Light,Shallow,14
103,2015,1,2,-7.194305897,105.380867,10.0,4.279995495,Dawn,Light,Shallow,1
108,2015,1,2,-8.361907005,109.2002411,35.0,4.377804553,Evening,Light,Shallow,15
109,2015,1,2,-8.184550285,107.4383926,10.0,4.164701848,Afternoon,Light,Shallow,7
110,2015,1,2,-8.201664925,107.2761459,12.0,4.103296724,Morning,Light,Shallow,7
