year,quarter,month,latitude,longitude,magnitude,depth,dayPeriod,earthquakeCategory,depthCategory,cluster1_4
2014,4,10,-7.275561333,106.2357864,3.140170799,10.0,Morning,Minor,Shallow,1
2014,4,10,-7.378744602,107.5836029,3.630042729,10.0,Morning,Minor,Shallow,0
2014,4,10,-7.528437614,107.5444946,2.981480313,10.0,Morning,Micro,Shallow,1
2014,4,10,-7.615581512,106.4062958,3.201417661,20.0,Afternoon,Minor,Shallow,1
2014,4,10,-8.480388641,110.3420258,3.232146507,23.0,Morning,Minor,Shallow,1
2014,4,10,-8.768849373,110.5384293,4.200937452,18.0,Evening,Light,Shallow,0
2014,4,10,-7.420603752,107.5503082,4.258103099,10.0,Dawn,Light,Shallow,0
2014,4,10,-8.497421265,109.6668854,4.020345802,22.0,Afternoon,Light,Shallow,0
2014,4,10,-7.469875813,107.5482025,2.759713771,10.0,Afternoon,Micro,Shallow,1
2014,4,10,-7.546608925,107.5088959,3.653135936,10.0,Afternoon,Minor,Shallow,0
2014,4,10,-8.853699684,111.3056793,3.157645421,10.0,Dawn,Minor,Shallow,1
2014,4,10,-8.781494141,111.3438339,4.301187911,106.0,Night,Light,Intermediate,2
2014,4,10,-7.434412479,106.9181061,3.389797352,80.0,Evening,Minor,Intermediate,2
2014,4,10,-6.828824043,107.0260773,5.15744271,159.0,Morning,Moderate,Intermediate,2
2014,4,10,-7.739531994,106.5463181,3.494068803,10.0,Evening,Minor,Shallow,0
2014,4,10,-8.326938629,108.6854019,3.490448053,29.0,Evening,Minor,Shallow,0
2014,4,10,-8.621196747,112.6537704,3.082369028,66.0,Dawn,Minor,Shallow,1
2014,4,10,-7.36685276,107.5886765,3.552627086,10.0,Morning,Minor,Shallow,0
2014,4,10,-7.097964764,105.2967606,4.69693809,10.0,Dawn,Light,Shallow,0
2014,4,10,-8.8829422,110.123291,4.157220015,10.0,Morning,Light,Shallow,0
2014,4,10,-8.670907021,107.156601,3.348338884,31.0,Morning,Minor,Shallow,0
2014,4,10,-7.594902992,111.7551498,3.219911467,10.0,Dawn,Minor,Shallow,1
2014,4,10,-7.595922947,111.7479935,3.32073623,10.0,Dawn,Minor,Shallow,1
2014,4,10,-8.155299187,107.8865128,3.986897794,20.0,Dawn,Minor,Shallow,0
2014,4,10,-7.983469963,110.496521,3.231141959,10.0,Afternoon,Minor,Shallow,1
2014,4,10,-8.510505676,109.2763214,3.846474007,36.0,Dawn,Minor,Shallow,0
2014,4,10,-8.41453743,109.2357788,3.212626671,27.0,Morning,Minor,Shallow,1
2014,4,11,-8.791030884,111.5954361,3.183020951,35.0,Morning,Minor,Shallow,1
2014,4,11,-8.767361641,110.6442184,3.487878172,12.0,Evening,Minor,Shallow,0
2014,4,11,-7.099779606,108.6950684,2.837191407,11.0,Evening,Micro,Shallow,1
2014,4,11,-7.53608036,108.7115021,3.114830074,135.0,Afternoon,Minor,Intermediate,2
2014,4,11,-7.745276928,105.9873199,3.512772176,10.0,Dawn,Minor,Shallow,0
2014,4,11,-7.740858555,105.9642105,4.780736558,10.0,Morning,Light,Shallow,0
2014,4,11,-8.42855072,108.7899094,2.69852885,25.0,Afternoon,Micro,Shallow,1
2014,4,11,-7.889008999,112.9796066,3.359846067,11.0,Dawn,Minor,Shallow,0
2014,4,11,-7.319681168,106.1459427,3.56057302,82.0,Morning,Minor,Intermediate,2
2014,4,11,-8.478429794,109.2491684,3.6196764928,36.0,Evening,Great,Shallow,0
