,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,area,cluster1_5
0,2014.0,4,10.0,-7.275561333,106.2357864,10.0,3.140170799,Morning,Minor,Shallow,2,0
1,2014.0,4,10.0,-7.378744602,107.5836029,10.0,3.630042729,Morning,Minor,Shallow,1,2
2,2014.0,4,10.0,-7.528437614,107.5444946,10.0,2.981480313,Morning,Micro,Shallow,2,0
3,2014.0,4,10.0,-7.615581512,106.4062958,20.0,3.201417661,Afternoon,Minor,Shallow,2,4
4,2014.0,4,10.0,-8.480388641,110.3420258,23.0,3.232146507,Morning,Minor,Shallow,0,2
5,2014.0,4,10.0,-8.768849373,110.5384293,18.0,4.200937452,Evening,Light,Shallow,0,2
6,2014.0,4,10.0,-7.420603752,107.5503082,10.0,4.258103099,Dawn,Light,Shallow,2,4
7,2014.0,4,10.0,-8.497421265,109.6668854,22.0,4.020345802,Afternoon,Light,Shallow,0,3
8,2014.0,4,10.0,-7.469875813,107.5482025,10.0,2.759713771,Afternoon,Micro,Shallow,2,4
9,2014.0,4,10.0,-7.546608925,107.5088959,10.0,3.653135936,Afternoon,Minor,Shallow,2,4
10,2014.0,4,10.0,-8.853699684,111.3056793,10.0,3.157645421,Dawn,Minor,Shallow,0,3
11,2014.0,4,10.0,-8.781494141,111.3438339,106.0,4.301187911,Night,Light,Intermediate,0,2
12,2014.0,4,10.0,-7.434412479,106.9181061,80.0,3.389797352,Evening,Minor,Intermediate,2,1
13,2014.0,4,10.0,-6.828824043,107.0260773,159.0,5.15744271,Morning,Moderate,Intermediate,1,1
14,2014.0,4,10.0,-7.739531994,106.5463181,10.0,3.494068803,Evening,Minor,Shallow,2,0
15,2014.0,4,10.0,-8.326938629,108.6854019,29.0,3.490448053,Evening,Minor,Shallow,3,0
16,2014.0,4,10.0,-8.621196747,112.6537704,66.0,3.082369028,Dawn,Minor,Shallow,0,3
17,2014.0,4,10.0,-7.36685276,107.5886765,10.0,3.552627086,Morning,Minor,Shallow,1,2
18,2014.0,4,10.0,-7.097964764,105.2967606,10.0,4.69693809,Dawn,Light,Shallow,2,4
19,2014.0,4,10.0,-8.8829422,110.123291,10.0,4.157220015,Morning,Light,Shallow,0,2
20,2014.0,4,10.0,-8.670907021,107.156601,31.0,3.348338884,Morning,Minor,Shallow,3,0
21,2014.0,4,10.0,-7.594902992,111.7551498,10.0,3.219911467,Dawn,Minor,Shallow,0,3
22,2014.0,4,10.0,-7.595922947,111.7479935,10.0,3.32073623,Dawn,Minor,Shallow,0,3
23,2014.0,4,10.0,-8.155299187,107.8865128,20.0,3.986897794,Dawn,Minor,Shallow,3,4
24,2014.0,4,10.0,-7.983469963,110.496521,10.0,3.231141959,Afternoon,Minor,Shallow,0,3
25,2014.0,4,10.0,-8.510505676,109.2763214,36.0,3.846474007,Dawn,Minor,Shallow,3,4
26,2014.0,4,10.0,-8.41453743,109.2357788,27.0,3.212626671,Morning,Minor,Shallow,3,0
27,2014.0,4,11.0,-8.791030884,111.5954361,35.0,3.183020951,Morning,Minor,Shallow,0,2
28,2014.0,4,11.0,-8.767361641,110.6442184,12.0,3.487878172,Evening,Minor,Shallow,0,2
29,2014.0,4,11.0,-7.099779606,108.6950684,11.0,2.837191407,Evening,Micro,Shallow,1,2
30,2014.0,4,11.0,-7.53608036,108.7115021,135.0,3.114830074,Afternoon,Minor,Intermediate,3,4
31,2014.0,4,11.0,-7.745276928,105.9873199,10.0,3.512772176,Dawn,Minor,Shallow,2,4
32,2014.0,4,11.0,-7.740858555,105.9642105,10.0,4.780736558,Morning,Light,Shallow,2,0
33,2014.0,4,11.0,-8.42855072,108.7899094,25.0,2.69852885,Afternoon,Micro,Shallow,3,4
34,2014.0,4,11.0,-7.889008999,112.9796066,11.0,3.359846067,Dawn,Minor,Shallow,0,3
35,2014.0,4,11.0,-7.319681168,106.1459427,82.0,3.56057302,Morning,Minor,Intermediate,2,0
36,2014.0,4,11.0,-8.478429794,109.2491684,36.0,3.477013598333334,Evening,Great,Shallow,3,0
37,2014.0,4,11.0,-8.351745605,109.0745087,31.0,2.901525563,Morning,Micro,Shallow,3,0
38,2014.0,4,11.0,-7.866016388,107.2798615,26.0,3.955014298,Evening,Minor,Shallow,3,0
39,2014.0,4,11.0,-8.34814167,108.1355438,44.0,4.871455718,Night,Light,Shallow,3,0
40,2014.0,4,11.0,-8.447051048,109.1767273,36.0,3.01047464,Morning,Minor,Shallow,3,0
41,2014.0,4,11.0,-7.655744553,106.6442413,10.0,3.737943159,Dawn,Minor,Shallow,2,4
42,2014.0,4,11.0,-7.28459549,106.0379181,55.0,4.892364126,Afternoon,Light,Shallow,2,4
43,2014.0,4,11.0,-8.235824585,107.2451553,10.0,4.642381098,Dawn,Light,Shallow,3,4
44,2014.0,4,11.0,-8.176037788,107.4882202,10.0,3.311657406,Morning,Minor,Shallow,3,0
45,2014.0,4,11.0,-7.531698704,106.222374,13.0,2.819468067,Afternoon,Micro,Shallow,2,4
46,2014.0,4,11.0,-8.151519775,107.3365631,10.0,4.163172956,Evening,Light,Shallow,3,0
47,2014.0,4,11.0,-8.19360733,108.0127182,10.0,3.108955791,Morning,Minor,Shallow,3,0
48,2014.0,4,11.0,-7.870328426,107.2536545,25.0,3.840273577,Afternoon,Minor,Shallow,3,4
49,2014.0,4,11.0,-8.953325272,111.3542252,25.0,3.462655879,Evening,Minor,Shallow,0,2
50,2014.0,4,11.0,-7.159510136,105.8920135,40.0,3.488680752,Evening,Minor,Shallow,2,0
51,2014.0,4,11.0,-6.690117359,106.6921463,10.0,2.145583145,Evening,Micro,Shallow,1,2
52,2014.0,4,11.0,-8.94382,112.4812241,10.0,4.155694541,Dawn,Light,Shallow,0,3
53,2014.0,4,11.0,-7.255951881,107.710495,10.0,3.541724765,Evening,Minor,Shallow,1,2
54,2014.0,4,12.0,-7.83610487,106.4446411,10.0,4.250493837,Night,Light,Shallow,2,0
55,2014.0,4,12.0,-8.13297081,107.9170227,20.0,3.820606947,Dawn,Minor,Shallow,3,4
56,2014.0,4,12.0,-7.791709423,105.9981842,10.0,4.520854621,Morning,Light,Shallow,2,0
57,2014.0,4,12.0,-7.25180912,111.5770645,19.0,3.085665867,Afternoon,Minor,Shallow,0,3
58,2014.0,4,12.0,-8.026036263,113.6355133,17.0,3.161488187,Dawn,Minor,Shallow,0,3
59,2014.0,4,12.0,-8.425488472,108.4646835,10.0,3.906929529,Night,Minor,Shallow,3,0
60,2014.0,4,12.0,-7.604500294,106.723732,10.0,3.261710526,Dawn,Minor,Shallow,2,4
61,2014.0,4,12.0,-8.150565147,107.3363495,18.0,4.454894135,Afternoon,Light,Shallow,3,4
62,2014.0,4,12.0,-8.226167679,107.3719177,12.0,3.391394103,Afternoon,Minor,Shallow,3,4
63,2014.0,4,12.0,-8.127306938,107.3033218,10.0,3.395564629,Night,Minor,Shallow,3,0
64,2014.0,4,12.0,-7.154861927,110.0453262,10.0,3.419162538,Afternoon,Minor,Shallow,1,3
65,2014.0,4,12.0,-8.163535118,107.3111649,10.0,3.501203401,Morning,Minor,Shallow,3,0
66,2014.0,4,12.0,-8.436028481,108.5350037,60.0,3.989317126,Evening,Minor,Shallow,3,0
67,2014.0,4,12.0,-8.176749229,107.3739166,18.0,4.282349038,Evening,Light,Shallow,3,0
68,2014.0,4,12.0,-7.561960697,105.963913,21.0,4.193084222,Morning,Light,Shallow,2,0
69,2014.0,4,12.0,-7.993020535,107.8060837,53.0,3.89352828,Morning,Minor,Shallow,3,0
70,2014.0,4,12.0,-8.075361252,113.7208862,10.0,2.523227559,Morning,Micro,Shallow,0,2
71,2014.0,4,12.0,-8.052990913,113.729248,10.0,2.302018082,Morning,Micro,Shallow,0,2
72,2014.0,4,12.0,-8.933462143,110.2240906,19.0,4.157473781,Night,Light,Shallow,0,2
73,2014.0,4,12.0,-7.864310741,111.3020935,22.0,3.265446879,Night,Minor,Shallow,0,2
74,2014.0,4,12.0,-8.11772728,107.2877426,14.0,3.728893378,Night,Minor,Shallow,3,0
75,2014.0,4,12.0,-8.288931847,107.7275925,10.0,3.468976675,Afternoon,Minor,Shallow,3,4
76,2014.0,4,12.0,-7.908602238,112.9874039,10.0,3.017627149,Morning,Minor,Shallow,0,2
77,2014.0,4,12.0,-8.047159195,107.0347748,10.0,3.360975528,Morning,Minor,Shallow,3,0
78,2014.0,4,12.0,-7.578986645,107.0489578,78.0,5.017198859,Afternoon,Moderate,Intermediate,2,4
79,2015.0,1,1.0,-7.861435413,106.4990921,10.0,3.835609252,Dawn,Minor,Shallow,2,4
80,2015.0,1,1.0,-8.473874092,111.9203491,77.0,3.619734277,Morning,Minor,Intermediate,0,1
81,2015.0,1,1.0,-8.875227928,110.3931198,53.0,3.449415803,Evening,Minor,Shallow,0,2
82,2015.0,1,1.0,-7.418150902,106.675499,18.0,3.45537402,Dawn,Minor,Shallow,2,4
83,2015.0,1,1.0,-7.595385551,106.6878128,11.0,3.904992877,Evening,Minor,Shallow,2,0
84,2015.0,1,1.0,-8.222784042,108.0554276,30.0,3.915679689,Afternoon,Minor,Shallow,3,4
85,2015.0,1,1.0,-7.869232655,107.2875824,25.0,3.539928526,Morning,Minor,Shallow,3,0
86,2015.0,1,1.0,-8.938436508,109.9152679,10.0,4.004116778,Night,Light,Shallow,0,2
87,2015.0,1,1.0,-7.520521164,106.3112793,50.0,4.59823922,Evening,Light,Shallow,2,0
88,2015.0,1,1.0,-8.443558693,108.917305,43.0,4.873730297,Night,Light,Shallow,3,0
89,2015.0,1,1.0,-6.946743965,106.3830566,19.0,3.085330694,Morning,Minor,Shallow,1,2
90,2015.0,1,1.0,-7.212831497,112.2962494,10.0,3.963958252,Morning,Minor,Shallow,0,2
91,2015.0,1,1.0,-7.77604723,106.8699493,18.0,4.736883514,Afternoon,Light,Shallow,2,4
92,2015.0,1,1.0,-7.842869759,106.8708496,10.0,3.442490344,Evening,Minor,Shallow,2,0
93,2015.0,1,2.0,-6.337854862,113.0091248,591.0,4.732708352,Afternoon,Light,Deep,0,1
94,2015.0,1,2.0,-8.190802574,113.8805771,12.0,2.491631585,Morning,Micro,Shallow,0,2
95,2015.0,1,2.0,-8.160943985,113.8203125,10.0,2.469444743,Morning,Micro,Shallow,0,2
96,2015.0,1,2.0,-8.200518608,113.9420242,11.0,2.290481119,Evening,Micro,Shallow,0,2
97,2015.0,1,2.0,-6.867091179,106.6902084,10.0,3.325815203,Night,Minor,Shallow,1,2
98,2015.0,1,2.0,-7.783557892,108.8039093,108.0,3.780338031,Night,Minor,Intermediate,3,0
99,2015.0,1,2.0,-8.146392822,113.9648895,18.0,2.181342068,Dawn,Micro,Shallow,0,3
100,2015.0,1,2.0,-8.189148903,113.9644394,10.0,2.348566352,Dawn,Micro,Shallow,0,3
101,2015.0,1,2.0,-8.114447594,113.9902725,10.0,2.236496189,Morning,Micro,Shallow,0,2
102,2015.0,1,2.0,-6.686313152,106.5120392,10.0,2.821726246,Morning,Micro,Shallow,1,2
103,2015.0,1,2.0,-7.194305897,105.380867,10.0,4.279995495,Dawn,Light,Shallow,2,4
104,2015.0,1,2.0,-7.391421795,107.8327484,150.0,4.59508793,Morning,Light,Intermediate,1,1
105,2015.0,1,2.0,-6.852005482,107.8880234,13.0,3.410062803,Dawn,Minor,Shallow,1,3
106,2015.0,1,2.0,-8.208862305,113.9176788,11.0,2.424026388,Morning,Micro,Shallow,0,2
107,2015.0,1,2.0,-8.928726196,111.1410904,70.0,3.903168537,Afternoon,Minor,Shallow,0,3
108,2015.0,1,2.0,-8.361907005,109.2002411,35.0,4.377804553,Evening,Light,Shallow,3,0
109,2015.0,1,2.0,-8.184550285,107.4383926,10.0,4.164701848,Afternoon,Light,Shallow,3,4
110,2015.0,1,2.0,-8.201664925,107.2761459,12.0,4.103296724,Morning,Light,Shallow,3,0
111,2015.0,1,2.0,-8.443415642,108.9878922,17.0,3.60583818,Morning,Minor,Shallow,3,0
112,2015.0,1,2.0,-7.919701099,107.0254822,10.0,3.529966917,Morning,Minor,Shallow,3,0
113,2015.0,1,2.0,-7.538618565,113.0613403,16.0,4.455640573,Afternoon,Light,Shallow,0,3
114,2015.0,1,3.0,-7.49687767,109.6353683,10.0,2.66259129,Afternoon,Micro,Shallow,3,4
115,2015.0,1,3.0,-8.949979782,111.2281113,10.0,4.76419049,Evening,Light,Shallow,0,2
116,2015.0,1,3.0,-7.619208813,106.9117432,28.0,2.801464431,Evening,Micro,Shallow,2,0
117,2015.0,1,3.0,-7.025591373,105.4354782,16.0,4.197799161,Evening,Light,Shallow,2,0
118,2015.0,1,3.0,-8.643356323,109.1410675,51.0,3.811242007,Night,Minor,Shallow,3,0
119,2015.0,1,3.0,-6.286139488,107.9495163,296.0,4.220934932,Night,Light,Intermediate,1,2
120,2015.0,1,3.0,-8.670337677,112.5569839,133.0,4.780742734,Evening,Light,Intermediate,0,1
121,2015.0,1,3.0,-6.604495525,107.4376831,48.0,3.150048031,Morning,Minor,Shallow,1,2
122,2015.0,1,3.0,-6.963722706,106.2639465,117.0,4.010594102,Afternoon,Light,Intermediate,1,1
123,2015.0,1,3.0,-7.032893658,106.9257126,10.0,2.693840305,Afternoon,Micro,Shallow,1,3
