longitude,latitude,magnitude,depth,year,area,cluster
107.5836029,-7.378744602,3.630042729,10.0,2014,15,0
110.5384293,-8.768849373,4.200937452,18.0,2014,0,-1
107.5503082,-7.420603752,4.258103099,10.0,2014,15,0
109.6668854,-8.497421265,4.020345802,22.0,2014,17,-1
107.5088959,-7.546608925,3.653135936,10.0,2014,15,-1
107.5886765,-7.36685276,3.552627086,10.0,2014,15,0
105.2967606,-7.097964764,4.69693809,10.0,2014,16,1
110.123291,-8.8829422,4.157220015,10.0,2014,0,-1
107.8865128,-8.155299187,3.986897794,20.0,2014,20,2
109.2763214,-8.510505676,3.846474007,36.0,2014,6,3
105.9873199,-7.745276928,3.512772176,10.0,2014,1,4
105.9642105,-7.740858555,4.780736558,10.0,2014,1,4
109.2491684,-8.478429794,3.6196764928,36.0,2014,6,3
107.2798615,-7.866016388,3.955014298,26.0,2014,8,5
108.1355438,-8.34814167,4.871455718,44.0,2014,22,6
106.6442413,-7.655744553,3.737943159,10.0,2014,11,7
106.0379181,-7.28459549,4.892364126,55.0,2014,9,4
107.2451553,-8.235824585,4.642381098,10.0,2014,2,8
107.3365631,-8.151519775,4.163172956,10.0,2014,2,8
107.2536545,-7.870328426,3.840273577,25.0,2014,8,5
112.4812241,-8.94382,4.155694541,10.0,2014,3,9
107.710495,-7.255951881,3.541724765,10.0,2014,15,10
106.4446411,-7.83610487,4.250493837,10.0,2014,11,7
107.9170227,-8.13297081,3.820606947,20.0,2014,20,2
105.9981842,-7.791709423,4.520854621,10.0,2014,1,4
108.4646835,-8.425488472,3.906929529,10.0,2014,22,11
107.3363495,-8.150565147,4.454894135,18.0,2014,2,8
107.3111649,-8.163535118,3.501203401,10.0,2014,2,8
108.5350037,-8.436028481,3.989317126,60.0,2014,22,11
107.3739166,-8.176749229,4.282349038,18.0,2014,2,8
105.963913,-7.561960697,4.193084222,21.0,2014,1,4
107.8060837,-7.993020535,3.89352828,53.0,2014,20,2
110.2240906,-8.933462143,4.157473781,19.0,2014,0,12
107.2877426,-8.11772728,3.728893378,14.0,2014,2,8
106.4990921,-7.861435413,3.835609252,10.0,2015,11,7
106.6878128,-7.595385551,3.904992877,11.0,2015,11,7
108.0554276,-8.222784042,3.915679689,30.0,2015,20,-1
107.2875824,-7.869232655,3.539928526,25.0,2015,8,5
109.9152679,-8.938436508,4.004116778,10.0,2015,0,13
106.3112793,-7.520521164,4.59823922,50.0,2015,1,-1
108.917305,-8.443558693,4.873730297,43.0,2015,6,14
112.2962494,-7.212831497,3.963958252,10.0,2015,18,-1
106.8699493,-7.77604723,4.736883514,18.0,2015,11,15
105.380867,-7.194305897,4.279995495,10.0,2015,16,1
109.2002411,-8.361907005,4.377804553,35.0,2015,6,3
107.4383926,-8.184550285,4.164701848,10.0,2015,2,8
107.2761459,-8.201664925,4.103296724,12.0,2015,2,8
108.9878922,-8.443415642,3.60583818,17.0,2015,6,14
107.0254822,-7.919701099,3.529966917,10.0,2015,8,15
113.0613403,-7.538618565,4.455640573,16.0,2015,18,-1
111.2281113,-8.949979782,4.76419049,10.0,2015,7,16
105.4354782,-7.025591373,4.197799161,16.0,2015,16,1
109.1410675,-8.643356323,3.811242007,51.0,2015,6,-1
108.8972397,-8.477085114,3.940937641,10.0,2015,6,14
108.8598099,-8.462662697,4.213164665,10.0,2015,6,14
109.0514832,-6.921978474,4.83752439,10.0,2015,23,-1
106.9197998,-7.985831261,4.373226308,10.0,2015,8,15
105.114212,-7.05563736,4.84075199,53.0,2015,16,-1
105.2188568,-7.11593914,4.19077119,16.0,2015,16,1
105.9015503,-7.325556755,3.776291015,10.0,2015,9,4
108.2330704,-8.304533005,3.968421544,10.0,2015,22,17
106.6167068,-7.937761307,3.518795937,34.0,2015,11,7
109.2647629,-8.447500229,3.852379309,29.0,2015,6,3
110.3326263,-8.827442169,4.195433424,19.0,2015,0,12
109.2483368,-8.413401604,3.979142571,10.0,2015,6,3
111.208313,-6.073328018,4.027378179,17.0,2015,4,-1
107.2661743,-8.190962791,3.853007775,10.0,2015,2,8
110.4979706,-8.072591782,3.685242198,10.0,2015,10,-1
110.8877716,-8.806938171,3.790630023,15.0,2015,7,19
111.2180939,-6.282092094,3.850599089,26.0,2015,4,-1
107.0658493,-8.104007721,3.674755724,15.0,2015,2,15
107.9592285,-8.189517021,3.879286632,21.0,2015,20,2
106.6499634,-7.991036415,3.860144948,68.0,2015,8,7
106.5180435,-7.58569622,4.109748487,27.0,2015,11,7
107.2914276,-8.5063591,4.296678387,10.0,2015,2,-1
109.2452774,-8.448558807,3.886535992,10.0,2015,6,3
107.3806686,-8.215315819,4.354076177,10.0,2015,2,8
108.5154953,-8.911349297,3.705855613,10.0,2015,14,-1
110.5439301,-8.785932541,3.830072664,20.0,2015,0,-1
106.6908188,-7.613978386,3.75264768,24.0,2015,11,7
105.1159439,-7.315886021,4.674220426,25.0,2015,16,-1
107.6142807,-8.246182442,4.139515964,10.0,2015,2,18
108.2283173,-8.254318237,4.695578853,12.0,2015,20,17
111.234375,-8.985844612,4.076307994,10.0,2015,7,16
111.1943054,-8.914541245,4.095581897,16.0,2015,7,16
107.382019,-8.322012901,4.721318765,17.0,2015,2,8
107.9973526,-6.846073151,3.581266351,10.0,2015,23,-1
112.4569397,-8.975541115,4.244168419,29.0,2015,3,9
107.8537598,-8.246015549,3.651607141,16.0,2015,20,2
107.9378433,-8.170951843,4.152740061,14.0,2015,20,2
112.4126511,-8.926724434,3.829731889,37.0,2015,3,9
107.3631134,-7.693991661,3.575423233,29.0,2015,8,-1
109.2687225,-8.443491936,3.59728216,31.0,2015,6,3
110.9007111,-8.897553444,4.694069277,14.0,2015,7,19
110.6858215,-7.737484455,3.778510623,22.0,2015,10,-1
107.2073822,-8.228230476,4.700867513,24.0,2015,2,8
108.8813171,-8.588745117,4.642019939,36.0,2015,6,14
112.4951935,-8.798821449,3.887839072,49.0,2015,3,9
110.2171326,-8.860304832,3.637341618,10.0,2015,0,12
110.0016937,-8.734259605,4.295610254,10.0,2015,17,-1
111.7858963,-7.643602848,3.573460227,10.0,2015,18,-1
107.8776398,-8.17279911,4.397396278,18.0,2015,20,2
107.8151016,-8.255628586,4.046552755,10.0,2015,20,2
107.3517151,-8.277317047,4.412905694,10.0,2015,2,8
109.2347641,-8.423677444,3.64723818,10.0,2015,6,3
106.4005508,-7.744223595,4.846524138,49.0,2015,11,7
107.8914795,-8.401560783,3.901267056,17.0,2015,22,2
107.3390808,-8.223365784,5.369762749,49.0,2015,2,8
109.7370834,-8.593611717,3.769717635,10.0,2015,17,29
112.7135544,-8.47793293,4.239609038,10.0,2015,3,-1
107.3240585,-8.176465988,4.770639136,10.0,2015,2,8
107.3982773,-8.19493103,3.543302647,10.0,2015,2,8
112.5027847,-8.849349022,4.992450844,42.0,2015,3,9
109.7324142,-8.901738167,3.513776396,10.0,2015,0,-1
110.4136963,-8.966590881,3.544161553,15.0,2015,0,24
108.9483261,-8.547288895,3.830958239,61.0,2015,6,14
110.5011597,-8.002797127,4.584077471,10.0,2015,10,-1
107.3967133,-8.02648735,3.891551752,27.0,2015,8,8
107.3678589,-8.447921753,4.712790228,43.0,2015,2,-1
107.363533,-8.249804497,4.030449246,10.0,2015,2,8
106.0739059,-7.3527174,3.897806296,20.0,2015,9,4
107.9012299,-8.256173134,3.917531657,39.0,2015,20,2
106.4316101,-7.500371456,4.739276579,51.0,2015,11,-1
108.8539124,-8.55623436,3.795487125,44.0,2015,6,14
109.1966629,-8.417715073,3.914843754,27.0,2015,6,3
105.1449127,-7.173208714,4.237286568,21.0,2015,16,-1
107.2174072,-8.200256348,3.670257465,11.0,2015,2,8
